V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	Amount
-2.284113733	-0.864340731	1.404222966	0.778060116	0.314211443	0.560069426	-0.838663888	-1.167804976	0.035291476	-0.573941437	-0.570189765	0.535791705	-0.312985011	-0.491638593	0.751741226	-1.054820425	-0.852294656	-0.851912779	1.486292288	-1.402775991	0.180098315	-1.330315934	2.086362974	0.124735398	-1.316099785	0.703951071	-1.477383668	-1.130965567	99.2696178
1.49208301	-0.732658259	1.109354696	1.179557961	-0.582245806	1.954032611	-0.006062504	-0.900723585	-0.249609818	0.118725397	-0.450682363	0.212438791	0.47821223	-1.421181877	0.174726003	0.817700898	0.309316635	-0.339622667	0.133420793	-1.046514723	1.514378345	0.348065479	-0.254038359	0.156777349	1.157050029	1.544459619	0.879201022	0.451164185	96.00571443
0.260246316	0.427427326	-0.973200667	-0.188117434	0.835484412	0.598581764	-1.005350799	-0.784640362	0.416944725	0.979808023	-1.805842187	0.030792118	0.086551187	1.28814255	-1.120626319	-0.551246102	0.077727296	0.223956892	0.605734524	0.853251786	-0.248662111	1.524863681	-0.112813155	-1.332326786	-1.607295797	0.465571791	-0.35805263	-0.16023343	7.650769051
1.148302989	0.39648356	0.414352135	0.522417588	-0.99750034	-1.123424128	-0.737241373	-0.35679599	1.378998471	0.242154349	-0.642742079	1.221047283	-0.14576027	-1.409881387	-0.459848655	-0.152698112	0.150244503	1.631193301	0.362088689	-0.096074801	-0.015415556	-1.740743392	-0.574638612	0.622324014	-1.656405232	1.33709148	0.913628293	1.435642824	23.20418017
0.418509798	-0.318873331	-0.94257842	0.478019183	1.722606266	-1.354471132	-0.522294329	-0.453198127	0.06458609	-1.104210797	-0.952488637	-1.35291468	-0.117575927	-0.255458032	1.725349431	-1.004271142	0.98527772	0.148062806	-0.472829965	-1.55924758	-3.334474495	-1.125267023	0.694748042	0.447803056	-0.068767493	-1.045970295	-1.602909264	-1.236913387	50.61663811
0.535327377	-0.111223191	-1.352148692	-2.221592491	1.022590788	1.414421146	-0.406903205	-0.454601544	-0.471482289	-1.270825186	-0.29360698	-1.105925568	0.065759069	-0.638666815	0.506737119	-0.414674253	-0.001650214	0.789344778	-0.384856762	1.517915675	-0.318970605	-0.076748092	0.559171328	-0.778606926	0.755692641	1.110491171	-1.512505667	1.504067227	92.50643814
0.474775241	-0.747557395	-0.582781783	0.209227526	0.346228931	-1.260885326	0.872859835	2.402895837	-1.134057554	1.481072382	-0.564372981	-1.653994312	0.283461719	0.291826003	0.21159497	0.781763425	1.439346441	1.65568716	-1.052982535	-0.001991379	1.479280549	1.036139138	1.382768133	-1.284687385	0.78452906	-1.344018724	-2.051846172	0.280185138	21.33555066
-1.116290038	0.403470342	-0.504259713	0.286426477	-1.343345107	1.075223366	-0.381617568	0.926798378	0.200579655	0.924856651	0.091259618	1.784805455	-1.492166167	0.631963226	-0.096943979	0.279726864	-0.554064052	-0.013592997	0.618632916	0.106580436	0.560327683	0.258179036	-0.191987713	-1.032612935	-1.197086226	-1.23422044	0.316908999	0.7189996	92.80780941
-0.48813097	0.150693527	-1.004567243	-0.792339017	-1.629069167	-1.299330595	1.111961979	1.162571416	-0.793785216	2.098051676	0.077723276	-0.384972457	0.919190032	1.233027685	1.007262243	-1.20499055	0.153408213	-0.945610079	0.464289712	0.021042957	-0.556722434	-0.429535558	-0.340853213	-0.500254536	0.169023817	0.002009079	-0.823985615	-1.54470042	14.72646083
-0.453461065	1.181562118	-2.024995885	0.153719355	0.162253996	-1.63487726	-0.271232363	0.376467038	0.511026415	0.361053418	0.175191209	0.434718134	0.673920602	-0.61356995	0.858521955	1.045500957	-0.877727387	2.784502004	0.085058915	3.140686246	0.36382204	1.499402141	-1.175664875	-0.511194299	0.761215166	0.074459127	0.031120378	0.651957417	24.09485187
0.748554882	0.953514411	-1.005675358	-0.567022125	0.617146749	0.318319015	-0.429792011	0.151899509	1.948503068	-0.654686817	-1.121592936	0.003519769	-0.850074629	-0.364450868	0.639731175	-0.155925162	-0.680171265	1.287718812	1.3718442	0.194980924	-0.002319369	-0.344087426	0.728951268	-0.307288397	1.054364884	0.268046715	-0.453840118	0.249995658	162.7739615
0.287932848	-1.392388914	0.844458095	0.04631147	0.25973632	0.070227778	0.951727224	-0.820560415	0.722802268	3.006638601	-0.378890515	0.836417702	1.274920504	-0.927718027	-0.983665662	0.142317937	0.310294504	0.144820091	1.14229215	0.457196833	-1.065338316	1.21727357	-0.611828291	0.922802718	-0.409660606	-0.690233226	2.417071988	-1.22399565	38.23278882
0.455230839	1.036170716	-0.209406997	0.267257503	0.506970848	0.305833305	0.744279152	-0.506971898	0.69004631	-0.97636128	0.450552733	1.050250368	-0.698050404	-0.253106256	-1.678541802	1.844160556	-1.107990044	0.208052128	-0.784769763	0.685580693	0.944485793	-0.814745667	-0.843795526	0.548510185	0.491474031	-1.119239084	0.266415073	-1.652396305	133.3940083
-0.497851966	1.107333758	-1.806773943	0.759077883	0.663499964	-0.57623052	-0.098728278	-1.329515941	0.786289649	0.440008799	0.923989751	0.751798519	-0.739975911	-0.255018257	2.471237623	0.359707481	0.558657339	0.291411197	0.673348607	-0.217186413	-1.818034162	-1.163735064	-1.185346508	-0.155127972	-0.914308093	1.580004072	-0.252734402	-0.190145272	3.801145428
0.332158132	-0.761698628	-0.882351524	1.413799879	-0.449647097	0.217332112	-0.215073572	1.711493137	1.106542683	-0.014143286	-0.838356305	-0.670130931	0.334586441	1.035152175	0.818673378	0.011312051	-0.497382621	-0.09060124	2.022467325	-0.574037382	1.641722554	-1.332363969	0.347883131	-0.379823681	0.543906064	-0.685725242	-0.975894768	0.362695679	13.27432871
-1.338101671	2.04963625	1.15929526	1.505179079	0.836270563	0.114184183	-0.509833481	-2.346925585	-0.459768882	0.420250205	0.612955925	2.07755177	-0.992414547	0.868741762	0.794138406	-0.245879687	-0.38528505	-1.537773797	-0.5262105	0.808049551	0.331643753	0.101662984	-2.137569102	-0.224351243	0.85391491	2.237214207	-1.462942117	0.852198117	129.4180973
-0.981209436	-0.025532466	0.85415096	-0.574934193	-1.276000448	-0.479407306	-0.015079051	0.085511276	1.376891589	-0.269319135	-1.793786705	0.43095021	-0.054440259	-1.736183307	-1.91082131	-1.326047933	1.026278001	-0.502633718	-0.627872084	1.961841912	0.299103262	1.251184545	-0.438000117	-1.428441295	-1.509301321	-0.758889781	0.439968957	0.695530005	41.28329562
-0.20935842	0.544763392	-0.454571294	0.224287638	0.277004017	0.987371076	0.791142736	-0.5759147	-1.522739993	-0.429712612	0.832131093	1.152967914	-0.281661161	0.765999295	-0.037841881	0.503020503	0.791207076	2.309032668	-0.940211207	-0.139899845	0.796121842	0.001982088	-0.341295332	-1.888611837	-0.416230121	-1.132236768	0.610775452	-1.088371193	38.79525322
-0.798939729	0.551523719	-1.306277266	0.005314015	0.373273838	0.994339016	-0.061218765	0.079391549	-1.40397176	-1.379297587	-1.02338252	1.371810712	0.76710925	-1.499165138	-0.282379687	0.679541351	-1.010170973	-1.999299456	0.413325851	1.629735259	-0.051722955	0.942417479	0.656731439	-0.851499166	-2.41499533	0.262754168	0.777266215	0.556049186	14.32465086
0.011460832	0.436049345	-0.211780597	-0.514454526	-0.332416843	-0.155074636	0.030949006	0.482990246	0.566546008	-0.912479009	1.01010262	-0.039732727	1.641478447	-0.007909896	-1.129887769	0.56154918	-0.47414098	0.659021679	2.685957358	-2.512076162	-0.961855426	0.196703493	1.007028074	1.410528221	2.586362279	0.996483405	0.310248414	-0.376046114	21.95134997
-0.072295704	-0.98800027	-0.978086974	0.877315572	-0.04588821	-0.307321291	0.678752065	1.947805146	0.92213048	-0.30555877	-1.440891532	1.212587662	-0.772349632	-1.0018388	-0.564020854	1.599990476	-0.627437483	0.583708477	0.997953931	-0.79512623	-0.914652715	0.422484055	-0.660994049	-0.032719118	0.334086462	0.213563752	1.416676437	-2.106436086	17.78896642
0.820628591	2.244914322	0.107030528	0.605826556	1.647749011	0.21679852	-0.85705549	0.100655449	-1.381819225	0.309882764	-0.061158625	0.253679605	1.353476002	-0.423927974	-0.342181306	-0.083399655	-1.320136504	0.220442121	1.606523618	-0.38088496	0.298537294	0.744891487	-0.496475813	-0.431525121	0.309981386	-1.097786533	-0.975120481	-0.686509786	22.20100324
-0.285928346	-1.372993925	-2.067422408	-0.738834348	0.546113784	-0.076484334	-0.223881609	-0.145828135	1.294820257	-1.226992177	-1.125320014	-1.101219825	-0.567195505	-1.414145508	-0.367877253	-0.6237028	-1.244592486	0.911416419	-1.53230511	-0.923901463	-0.56213293	1.616798998	0.245854778	0.942360941	2.394525083	0.337205023	1.368545358	0.708413224	24.03711544
0.606850631	0.658357171	-0.366155671	0.557287806	0.001350082	1.167602755	-0.383241067	-1.824864067	0.400932633	0.6965689	-0.461068915	1.642056251	-2.997208518	-0.63581088	-0.40019777	-0.327290677	-0.308528617	0.27490807	1.616729516	0.104135917	0.740327815	-0.446688744	1.523158956	2.282233389	-1.187798041	0.078566273	-1.330000524	0.322604533	80.51940892
0.311924834	-0.381489225	-0.825783833	0.497759457	-0.2452679	-0.434620564	-1.208891327	-0.885497563	0.84379437	-1.692028173	-1.037270565	1.767631248	-1.910133098	-0.80839349	-0.152320218	-0.198369203	-0.545470485	-1.919701381	-2.032922636	1.070919659	1.378863246	0.265234886	0.275842274	-0.776956586	1.472860884	1.340429639	0.080926772	0.76551151	90.05642156
-0.573733757	-1.757434045	0.248737967	0.722754695	1.145248411	-1.265456145	0.527733259	-0.000102047	-0.525133301	1.666003001	2.077169608	1.466410305	-1.10538889	-0.803840947	0.712743518	0.484197695	-0.180079905	1.154616549	0.158712472	0.114255147	1.907857954	-0.064619065	1.72946279	0.666121335	0.513456818	1.426715312	-0.462041307	1.021698405	14.59458105
0.266067447	-0.32237662	1.456112218	0.816055817	-0.674387081	-0.228424761	0.609572313	0.029904692	0.066113703	-0.832419799	-0.735634728	-0.324313562	0.708310492	1.166407627	0.914669666	0.293616904	0.98945342	-0.070361174	-1.050909648	1.239434557	-0.543100998	0.431428007	-1.264463432	-0.840119355	-1.029136612	3.141527163	-0.842137941	-3.1017544	18.75523728
